parameter,min,max,mean,std
INSC_wavg,0.6802890300750732,3.7877705097198486,1.4699106216430664,0.6587997078895569
COEF_wavg,133.08009338378906,379.35186767578125,226.80332946777344,32.99258041381836
SQ_wavg,1.0103893280029297,4.9023356437683105,2.8051156997680664,0.7365238070487976
SMSC_wavg,71.75868225097656,480.3468933105469,206.7399139404297,83.31774139404297
SUB_wavg,0.0060836272314190865,0.3589068353176117,0.1483192890882492,0.07469571381807327
CRAK_wavg,0.0592317208647728,0.9604758620262146,0.5344236493110657,0.2047867774963379
K_wavg,0.02129129134118557,0.2226668894290924,0.1272323876619339,0.04696086794137955
LG_wavg,1.509782805442228e-07,0.04686002433300018,0.0076308646239340305,0.008039099164307117
TT_wavg,-2.2084174156188965,1.3974682092666626,-0.2731679379940033,0.6743724346160889
CFMAX_wavg,0.5990532040596008,4.712693214416504,2.6949710845947266,0.5050666332244873
CFR_wavg,0.00750895868986845,0.05742920935153961,0.03898569568991661,0.005915770772844553
CWH_wavg,5.026649159844965e-05,0.036392875015735626,0.009861390106379986,0.005960799753665924
route_a,0.4056088328361511,2.8997535705566406,1.5453650951385498,0.5598361492156982
route_b,0.00996129959821701,1.8275407552719116,0.211588054895401,0.2309045046567917
weight_c1,0.008818700909614563,0.6724660396575928,0.26308968663215637,0.1377982199192047
weight_c2,0.12475549429655075,0.9275432825088501,0.38865742087364197,0.1447473019361496
weight_c3,0.01782572828233242,0.6845535635948181,0.18273009359836578,0.08854720741510391
weight_c4,0.010569963604211807,0.31889429688453674,0.16552285850048065,0.05216920003294945
lg_dyn_mean_wavg,0.00048667367082089186,0.732090950012207,0.09417089074850082,0.13578017055988312
lg_dyn_std_wavg,6.747982115484774e-05,0.11970430612564087,0.021432705223560333,0.02563171088695526
