parameter,min,max,std,range_usage_fraction,collapsed_flag
INSC_wavg,0.6802890300750732,3.7877700328826904,0.6587996825788727,,False
COEF_wavg,133.080078125,379.3518981933594,32.99257840991926,,False
SQ_wavg,1.0103892087936401,4.9023356437683105,0.73652385997384,,False
SMSC_wavg,71.75867462158203,480.346923828125,83.31773885576915,,False
SUB_wavg,0.006083626300096512,0.35890671610832214,0.07469571559580077,,False
CRAK_wavg,0.05923174321651459,0.960475742816925,0.2047867730795477,,False
K_wavg,0.02129129134118557,0.2226668894290924,0.046960868594285464,,False
LG_wavg,1.509782805442228e-07,0.04686003923416138,0.008039100262120182,,False
TT_wavg,-2.2084176540374756,1.397468090057373,0.6743724410906742,,False
CFMAX_wavg,0.5990532636642456,4.7126922607421875,0.5050665987077302,,False
CFR_wavg,0.007508959621191025,0.05742920935153961,0.005915770931426501,,False
CWH_wavg,5.026649887440726e-05,0.03639287129044533,0.005960799447052952,,False
route_a,0.4056088924407959,2.8997535705566406,0.5598361431217393,0.8600498890054638,False
route_b,0.009961304254829884,1.8275411128997803,0.2309045210767771,0.2796276628684539,False
lg_dyn_mean_wavg,0.000494525651447475,0.7338991165161133,0.13623580066710206,,False
lg_dyn_std_wavg,6.708511500619352e-05,0.11737917363643646,0.02577205918730199,,False
