metric,comparison_basis,mc_median,hbv_median,mc_mean,hbv_mean,n_valid_basins,mc_better_basins,hbv_better_basins,mc_better_fraction
NSE,higher,0.6463931423379381,0.6278148701696469,0.4674304978415012,0.3387203266692386,671,387,284,0.5767511177347243
KGE,higher,0.659667946491887,0.6377297389335277,0.5570374752293497,0.48213128100832875,671,381,290,0.5678092399403875
COR,higher,0.8308157314699973,0.826916441066616,0.7899091647835648,0.7857264218139216,671,362,309,0.5394932935916542
R2corr,higher,0.6902547796580267,0.6837908005062782,0.6431947425154446,0.6373371021768157,671,362,309,0.5394932935916542
RMSE,lower,1.3058779544817043,1.3513905481450843,1.4910856965480628,1.5428292840163886,671,387,284,0.5767511177347243
MAE,lower,0.5134828037773306,0.5564201409756121,0.6314298677760763,0.6605711168289673,671,427,244,0.6363636363636364
abs_PBias,lower,15.499102354234036,14.349563783704511,22.40112039063204,26.86119820180177,671,320,351,0.47690014903129657
abs_FHV,lower,37.61618686950132,39.68431568263997,40.04334901654917,42.014541056609175,671,362,309,0.5394932935916542
abs_FLV,lower,53.06711103677051,58.46390779897657,82.49361860659315,91.93505161224549,640,335,305,0.5234375
abs_FMS,lower,26.527515598180162,28.52352611445893,34.47362921503575,40.23147184767388,670,379,291,0.5656716417910448
PT,lower,34.6,36.86666666666667,36.80626189508455,38.11283217527629,671,345,326,0.5141579731743666
precision_2yr,higher,0.6,0.5714285714285714,0.6061530734243127,0.5763211858675443,616,317,299,0.5146103896103896
recall_2yr,higher,0.4,0.4,0.39933548447823447,0.41255278305889287,671,230,441,0.34277198211624443
f1_2yr,higher,0.4666666666666667,0.4444444444444444,0.4456416991079748,0.4303279660578963,602,309,293,0.5132890365448505
precision_5yr,higher,0.5,0.5,0.5137231016186544,0.49263043657455224,471,175,296,0.37154989384288745
recall_5yr,higher,0.2857142857142857,0.25,0.3162804542894731,0.30749769520927506,671,153,518,0.22801788375558868
f1_5yr,higher,0.4444444444444444,0.4,0.45160974815399163,0.41176584277638983,400,190,210,0.475
